,ID,Salary,DOJ,Gender,DOB,10percentage,12graduation,12percentage,12board,CollegeID,Degree,Specialization,collegeGPA,CollegeCityID,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ComputerScience,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience
0,203097,420000,01-06-2012 00:00,f,19-02-1990 00:00,84.3,2007,95.8,state board,1141,B.Tech/B.E.,CS,78.0,1141,2011,515,585,525,0.635978756,445,-1,0.9737,0.8128,0.5269,1.3549,-0.4455
1,579905,500000,01-09-2013 00:00,m,04-10-1989 00:00,85.4,2007,85.0,cbse,5807,B.Tech/B.E.,EC,70.06,5807,2012,695,610,780,0.960603252,-1,-1,-0.7335,0.3789,1.2396,-0.1076,0.8637
2,810601,325000,01-06-2014 00:00,f,03-08-1992 00:00,85.0,2010,68.2,cbse,64,B.Tech/B.E.,CS,70.0,64,2014,615,545,370,0.450876584,395,-1,0.2718,1.7109,0.1637,-0.8682,0.6721
4,343523,200000,01-03-2014 00:00,m,27-02-1991 00:00,78.0,2008,76.8,cbse,11368,B.Tech/B.E.,EC,73.9,11368,2012,545,625,465,0.124502074,-1,-1,-0.881,-0.2793,-1.0697,0.09163,-0.1295
5,1027655,300000,01-06-2014 00:00,m,02-07-1992 00:00,89.92,2010,87.0,state board,5086,B.Tech/B.E.,EC,76.32,5086,2014,560,555,620,-1.0,645,407,-0.3027,-0.6201,-2.2954,-0.7415,-0.8608
6,947847,300000,01-08-2014 00:00,m,01-02-1993 00:00,86.08,2010,67.5,state board,314,B.Tech/B.E.,CS,72.98,314,2014,590,435,380,0.356536488,405,346,1.7081,-0.1054,-1.0379,-2.0092,-1.0872
7,912934,400000,01-07-2014 00:00,m,27-05-1992 00:00,92.0,2010,91.0,cbse,1757,B.Tech/B.E.,ME,8.58,1757,2016,545,555,590,0.8295846,-1,-1,-0.0154,1.2114,0.01,0.1459,1.247
8,552574,600000,01-07-2013 00:00,m,17-09-1991 00:00,90.0,2009,91.2,cbse,13,B.Tech/B.E.,EC,85.03,13,2013,615,670,530,0.694479328,735,-1,-0.159,0.5454,-0.6048,-0.7415,-0.2859
9,1203363,230000,01-07-2014 00:00,m,13-06-1993 00:00,77.0,2010,72.2,cbse,8640,B.Tech/B.E.,EC,78.0,8640,2014,605,565,545,0.493596387,385,-1,-1.308,0.5454,-0.9122,0.9066,0.0973
10,87291,600000,01-04-2011 00:00,m,24-06-1989 00:00,88.6,2006,83.7,state board,403,B.Tech/B.E.,CS,74.9,403,2010,565,455,565,0.765673581,485,-1,0.0464,0.8128,0.0914,0.1798,0.0284
11,190393,450000,01-08-2011 00:00,m,10-02-1990 00:00,81.0,2007,86.0,cbse,4441,B.Tech/B.E.,CS,72.29,4441,2011,495,605,715,0.968237496,605,-1,-2.272,1.1248,0.8171,-0.4078,-0.4455
12,606655,270000,01-12-2013 00:00,m,21-11-1990 00:00,83.6,2008,69.83,state board,2665,B.Tech/B.E.,EC,60.0,2665,2013,380,580,470,0.229481755,-1,-1,0.1282,0.5454,-0.7585,-0.995,0.8637
